"name" "account_id" "city" "mailPromo"
"ce" 1137034 "Bedrock" 0
"qk" 6222994 "Metropolis" 0
"pu" 6092747 "Gotham City" 0
"qi" 6233794 "Metropolis" 0
"wf" 8609154 "Bedrock" 0
"qp" 6403106 "Zion" 0
"as" 94958 "Winterfell" 0
"gb" 2325505 "Gotham City" 0
"rh" 6660838 "Metropolis" 0
"nr" 5142511 "Gotham City" 0
"se" 6935913 "Metropolis" 0
"of" 5449748 "Zion" 0
"hu" 2827336 "Bedrock" 1
"ys" 9234335 "Bedrock" 0
"hf" 2923158 "Metropolis" 0
"vr" 8372956 "Bedrock" 0
"hl" 2862233 "Gotham City" 0
"gw" 2668208 "Bedrock" 0
"ez" 1867228 "Zion" 0
"gn" 2322259 "Zion" 1
"ib" 3166125 "Gotham City" 0
"hn" 3026934 "Bedrock" 1
"ex" 1590460 "Gotham City" 0
"bi" 399959 "Winterfell" 1
"fc" 2187995 "Zion" 0
"vv" 8105986 "Bedrock" 0
"na" 5256975 "Winterfell" 0
"xq" 9146582 "Bedrock" 0
"vq" 8313450 "Gotham City" 0
"bb" 457703 "Zion" 1
"lc" 4560915 "Bedrock" 0
"ge" 2651867 "Winterfell" 1
"hm" 3046722 "Zion" 0
"nz" 5073069 "Bedrock" 0
"ek" 1810962 "Winterfell" 1
"ti" 7596706 "Metropolis" 0
"fe" 2012480 "Metropolis" 0
"gv" 2588098 "Zion" 0
"ze" 9921504 "Zion" 0
"ur" 8073523 "Zion" 0
"ov" 5533336 "Bedrock" 1
"qc" 6464061 "Gotham City" 0
"if" 3118243 "Metropolis" 0
"qh" 6218192 "Zion" 0
"ie" 3297702 "Metropolis" 0
"nc" 5019975 "Zion" 0
"rr" 6770945 "Metropolis" 1
"mz" 4849912 "Zion" 0
"tt" 2439288 "Bedrock" 0
"bu" 7654598 "Metropolis" 0
"is" 737799 "Bedrock" 1
"sh" 3096866 "Gotham City" 1
"ns" 7172717 "Gotham City" 0
"dg" 5045459 "Metropolis" 1
"no" 1529990 "Metropolis" 0
"mn" 5039335 "Zion" 0
"tj" 4939609 "Zion" 0
"er" 7512002 "Bedrock" 0
"wm" 1746498 "Winterfell" 0
"ws" 8483924 "Winterfell" 0
"im" 8648338 "Bedrock" 0
"ax" 418573 "Metropolis" 0
"gq" 3171822 "Metropolis" 0
"sc" 137499 "Metropolis" 1
"iu" 2390257 "Gotham City" 0
"ni" 7064946 "Zion" 0
"bw" 3080948 "Zion" 0
"op" 5085476 "Zion" 0
"dp" 516466 "Bedrock" 1
"xx" 5645698 "Zion" 0
"ap" 1214802 "Bedrock" 1
"uh" 8928364 "Winterfell" 0
"cv" 146273 "Gotham City" 0
"np" 7831211 "Winterfell" 0
"ja" 899613 "Bedrock" 0
"bz" 5191900 "Winterfell" 0
"iq" 3842667 "Gotham City" 0
"ro" 700525 "Metropolis" 0
"yr" 3206444 "Gotham City" 0
"mg" 6684954 "Metropolis" 1
"dt" 9264005 "Winterfell" 0
"ot" 4719097 "Metropolis" 0
"fx" 1426153 "Gotham City" 0
"xl" 5442698 "Winterfell" 0
"kz" 1961747 "Zion" 0
"ed" 8985805 "Winterfell" 1
"xh" 3894998 "Zion" 1
"xr" 3108708 "Bedrock" 0
"df" 1600287 "Gotham City" 0
"dz" 8961858 "Winterfell" 0
"cc" 1663938 "Metropolis" 0
"nn" 9004246 "Bedrock" 1
"ht" 1340782 "Winterfell" 1
"ig" 1316141 "Gotham City" 0
"tf" 1052875 "Metropolis" 0
"ac" 5115836 "Metropolis" 0
"oq" 3001991 "Metropolis" 0
"hr" 267169 "Zion" 0
"fy" 3096474 "Winterfell" 0
"dl" 7421197 "Bedrock" 0
"dw" 354567 "Zion" 0
"lv" 5650761 "Gotham City" 0
"bp" 2802578 "Bedrock" 0
"sa" 2041963 "Gotham City" 0
"cd" 1337389 "Metropolis" 0
"yw" 3256819 "Zion" 0
"fp" 1550620 "Zion" 0
